O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion artifacts
19.55884 -15.13183 -9.746093 19.76229 19.32703 20.56901 19.37155 -2.607695 -17.86874 -13.78292 -9.494735 17 1 1
-13.78692 -39.42789 -27.95482 -15.88435 -13.23647 -12.84519 -12.79121 -40.61788 -29.24942 -8.313557 1.422574 17 1 0
-3.584098 13.37407 19.97778 -1.492767 -4.709848 -5.056794 -5.464773 25.10628 23.45279 17.67299 -15.50871 17 1 1
-36.86773 -7.342075 -31.25639 -38.19508 -35.94808 -35.98637 -35.28909 -4.005405 -2.513203 -3.536599 1.082239 17 1 1
-23.5637 -84.81682 -42.99748 -25.85552 -23.60848 -21.97807 -22.73982 -41.79192 -66.72054 -21.69173 -30.08051 17 1 1
-6.663672 -34.98822 -29.04664 -5.273331 -5.795152 -5.723072 -6.349495 -36.88779 -45.28334 -38.21711 -36.47312 17 1 0
-39.98164 56.05716 -3.865958 -38.50706 -40.24077 -41.11041 -40.19333 -11.66691 27.5476 -5.465179 2.19345 17 1 0
8.222029 -83.66397 -37.86334 5.192649 10.28071 11.68578 12.98515 -4.000551 -48.1811 -26.68309 -15.42914 17 1 0
5.324558 87.43064 52.72688 6.236293 4.353402 2.248225 2.38437 59.32698 63.51493 71.35393 32.7198 17 1 0
0.2094653 -78.30896 -12.34368 -1.123583 1.125285 1.378632 1.399868 1.159383 -31.95666 8.528726 10.92833 17 1 0
-16.13053 -31.12709 -40.08773 -17.861 -17.0301 -16.09165 -16.8343 -29.15543 -28.23193 -35.30284 -29.10592 17 1 0
4.482262 0.9006324 -9.288566 3.407057 4.620984 5.636791 5.509438 -19.08717 -5.262766 -19.17902 -8.780559 17 1 1
13.75828 66.49204 27.20123 14.64081 13.02823 12.03603 12.41305 46.17703 70.17869 49.03058 23.26967 17 1 0
-14.91091 -63.33052 -35.75716 -16.84456 -13.21038 -14.5138 -12.77231 -43.84919 -46.78845 -12.87652 -10.04793 17 1 1
-24.04558 15.22647 -7.574282 -25.11762 -23.82631 -24.77938 -25.56404 -7.14805 -15.41463 -0.7373936 -0.9561349 17 1 1
-18.96457 -6.1835 -20.27618 -17.56135 -19.22557 -18.51299 -19.33969 9.016554 21.39344 16.22676 -4.318859 17 1 0
-3.231921 -12.81104 -11.65037 -3.016814 -4.369065 -3.479509 -3.56479 21.79037 1.127823 42.43248 18.53436 17 1 1
-0.2819918 30.31089 26.24725 0.3945133 -0.1155972 -0.1254392 -0.2194504 29.50599 26.66999 30.6994 14.97322 17 1 1
-16.16173 -4.670441 -17.55718 -18.98768 -15.63234 -16.63561 -14.90922 -8.272535 -0.389962 7.567307 10.68693 17 1 0
11.86882 15.37273 26.80928 11.98606 11.56306 11.24596 10.35599 20.4581 16.41117 10.66606 14.64857 17 1 1
-13.08065 1.456859 -12.75898 -10.66028 -13.74597 -14.04385 -13.76684 1.298015 2.752011 -19.61219 -27.92725 17 1 1
6.845237 -21.29052 -8.313855 7.151678 5.817758 6.801066 7.469416 3.491819 -27.30621 -29.22167 -30.10968 17 1 0
6.934683 -44.68518 -18.37324 5.865764 6.778001 7.871007 7.005837 -43.02171 -37.20488 -30.57381 -18.57323 17 1 1
2.707671 9.342146 11.66615 2.042916 2.71346 2.299741 3.986282 24.88243 17.23726 7.014822 3.614771 17 1 1
-2.32643 -23.80319 0.9612109 -3.126839 -3.598057 -3.876304 -2.011196 -26.9825 -52.90116 -57.01446 -43.1104 17 1 1
1.534819 -12.17483 18.15062 4.826182 0.8594717 0.7451875 0.274397 7.587936 -14.87586 -21.83783 10.43787 17 1 1
-1.717527 15.8254 4.045485 -2.296697 -1.811799 -1.824984 -1.002823 15.53772 24.71173 52.48713 30.84957 17 1 1
-17.35188 -44.06928 -40.68544 -20.20057 -16.08093 -16.03814 -16.03684 -50.23947 -52.2441 -43.06216 -21.65562 17 1 1
-14.14007 1.633321 -18.18895 -14.44587 -14.3173 -13.47933 -13.98726 -18.86979 14.03299 -14.30835 -5.322906 17 1 1
-37.34552 -33.40201 -55.78779 -38.64901 -36.59126 -37.79013 -37.7745 -49.7228 -22.1995 -8.200482 -12.16582 17 1 0
1.544492 -9.481074 4.85977 1.560824 0.2808134 0.902975 0.406328 -7.367251 -7.362388 3.379814 -2.398295 17 1 1
-3.91253 5.765544 -0.3026805 -3.145123 -3.696394 -3.955054 -4.363678 -9.413739 8.663238 2.746426 3.484594 17 1 0
6.83507 -43.47007 -35.72164 2.385947 8.196828 8.959857 8.126982 -54.22609 -57.35876 -33.36737 -29.78195 17 1 1
-12.7642 63.44054 32.35443 -12.93678 -12.80859 -14.93876 -13.61949 40.09737 81.55004 53.49581 32.25824 17 1 0
-0.1562907 -44.4917 -39.07032 0.2179196 0.006838812 0.4304823 1.169665 -41.61768 -47.42821 -57.60902 -19.80093 17 1 1
0.9124248 35.41731 18.74779 1.933243 -0.6153932 0.7068539 0.4416868 23.09444 53.21422 29.96697 30.43024 17 1 1
6.501195 41.05804 0.5645411 5.679697 6.584929 7.29121 6.338661 -0.3408215 15.43284 9.797354 17.01908 17 1 1
-20.89647 4.113928 -50.24117 -9.85743 0.7099887 1.512211 16.216 4.078388 6.602138 9.646276 16.70903 18 1 0
-44.4051 -8.640537 2.55582 -43.82612 -63.18155 -63.37993 -36.6507 -11.56942 -10.7777 -12.06077 -20.5961 18 1 0
-20.26257 -25.16422 34.13997 -7.403388 -2.481617 -3.856609 -8.9224 -29.03541 -28.35004 -28.5139 -19.72181 18 1 0
10.93845 9.879176 118.4733 9.63227 4.556114 4.020561 10.23956 8.460972 8.939806 14.79725 29.61124 18 1 0
-1.345667 -10.6293 149.6043 3.107606 -7.397524 -6.956932 -10.00134 -18.43868 -19.6139 -20.54214 8.003742 18 1 0
8.6285 15.92813 31.17696 -5.91683 -13.40561 -13.43995 -12.9237 13.46779 12.58092 12.72927 10.62986 18 1 0
-1.890438 4.615488 106.0052 2.452855 -8.155378 -6.677638 -2.4712 -2.749021 -2.151465 -2.33233 19.29868 18 1 0
-4.468971 8.523032 -106.1996 -16.37454 -18.55166 -17.85884 -6.893898 15.35238 16.8754 17.07686 -0.8689882 18 1 0
-56.17958 -40.39367 101.6798 -38.44517 -25.67562 -26.2442 -28.01189 -48.01714 -47.62674 -44.84788 -51.10476 18 1 0
34.95462 1.543599 11.41433 22.38274 11.845 11.09511 14.0343 4.308198 4.389585 3.390695 7.319357 18 1 0
-20.94588 -18.43146 -26.66286 -14.01968 -1.219496 -1.576707 -10.97201 -20.2283 -21.25538 -22.1999 -21.04089 18 1 0
26.14244 14.36837 73.43912 18.59949 16.58612 16.10252 11.92154 12.66424 9.888241 12.31591 29.40342 18 1 0
-14.05195 -12.48241 35.00893 -3.803058 -1.122558 0.1848515 -1.085102 -13.11507 -14.60176 -16.2343 -6.39844 18 1 0
-28.27321 -12.19695 152.0879 -28.12136 -16.65679 -17.65494 -0.1638842 -17.16937 -20.62117 -20.63455 -3.802615 18 1 0
6.054682 -62.03591 207.122 19.79807 23.45 19.6216 53.59378 -59.05474 -57.72238 -49.75487 -28.16819 18 1 0
-26.24362 -23.77091 40.58138 -37.79021 -20.04258 -22.05416 -20.89358 -19.41543 -14.01222 -9.371497 -32.5164 18 1 0
26.67899 39.02436 -103.4673 -1.080239 -30.8284 -30.77501 -1.217957 45.45687 49.19059 50.91946 37.21249 18 1 0
-17.42774 7.618628 87.03249 2.697204 -3.981045 -4.844423 -7.342916 1.97092 -1.202395 -2.135378 13.67789 18 1 0
24.00967 3.295592 -159.8331 -2.116377 -0.970465 -0.140997 14.36586 7.960022 8.462745 7.134158 5.214691 18 1 0
-29.8805 -6.827706 -18.50755 -24.62087 0.5599824 0.4630435 -24.86712 -8.397279 -8.34069 -4.615136 11.19399 18 1 0
-60.66065 -15.72886 -3.862014 -35.63203 -32.61689 -36.55899 -54.83422 -9.761653 -2.351913 -3.899695 23.43766 18 1 0
1.820101 -11.71551 14.60183 -4.30575 20.63469 19.76656 4.635903 -12.41852 -14.00762 -10.39014 -16.21346 18 1 0
26.76434 -12.69358 136.3006 23.1922 3.580245 3.727643 44.64889 -17.02738 -17.14693 -13.38218 32.55993 18 1 0
20.93793 -9.504222 -160.2302 15.44134 27.25462 28.94598 49.0649 -8.435343 -4.778918 -6.878336 2.425135 18 1 0
